pdb_id,method,resolution_a,comp_id,comp_name,formula,formula_weight,comp_type,smiles,heavy_atoms,auth_asym_ids,classification,tier
9JZ3,X-RAY DIFFRACTION,1.98,A1ED4,3H-benzimidazol-5-ylmethanol,C8 H8 N2 O,148.162,non-polymer,c1cc2c(cc1CO)[nH]cn2,11,A,ligand,fragment
9JZ4,X-RAY DIFFRACTION,1.82,A1ED5,"1,3-dihydro-2-benzofuran-5-amine",C8 H9 N O,135.163,non-polymer,c1cc2c(cc1N)COC2,10,A,ligand,fragment
9JZ4,X-RAY DIFFRACTION,1.82,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9JZ4,X-RAY DIFFRACTION,1.82,PE4,2-{2-[2-(2-{2-[2-(2-ETHOXY-ETHOXY)-ETHOXY]-ETHOXY}-ETHOXY)-ETHOXY]-ETHOXY}-ETHANOL,C16 H34 O8,354.436,non-polymer,CCOCCOCCOCCOCCOCCOCCOCCO,24,A,additive_code,
9JZ6,X-RAY DIFFRACTION,1.65,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9JZ6,X-RAY DIFFRACTION,1.65,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9JZ6,X-RAY DIFFRACTION,1.65,A1ED7,"1,3,4-thiadiazol-2-amine",C2 H3 N3 S,101.13,non-polymer,c1nnc(s1)N,6,A,ligand,fragment
9JZG,X-RAY DIFFRACTION,1.76,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9JZG,X-RAY DIFFRACTION,1.76,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9JZG,X-RAY DIFFRACTION,1.76,A1ED8,2-(4-hydroxyphenyl)ethanamide,C8 H9 N O2,151.163,non-polymer,c1cc(ccc1CC(=O)N)O,11,A,ligand,drug_like
9JZS,X-RAY DIFFRACTION,1.91,A1AT6,"(2S)-2,3-dihydro-1H-indole-2-carboxylic acid",C9 H9 N O2,163.173,L-peptide linking,c1ccc2c(c1)C[C@H](N2)C(=O)O,12,A,ligand,drug_like
9JZS,X-RAY DIFFRACTION,1.91,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9JZS,X-RAY DIFFRACTION,1.91,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9JZU,X-RAY DIFFRACTION,1.68,A1ED9,1-(1H-pyrrol-3-yl)ethanone,C6 H7 N O,109.126,non-polymer,CC(=O)c1cc[nH]c1,8,A,ligand,fragment
9JZU,X-RAY DIFFRACTION,1.68,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9JZU,X-RAY DIFFRACTION,1.68,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9JZV,X-RAY DIFFRACTION,1.9,CL,CHLORIDE ION,Cl,35.453,non-polymer,[Cl-],1,A,additive_code,
9JZV,X-RAY DIFFRACTION,1.9,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9JZV,X-RAY DIFFRACTION,1.9,A1EEA,"1,3-dimethylimidazolidin-2-one",C5 H10 N2 O,114.146,non-polymer,CN1CCN(C1=O)C,8,A,ligand,fragment
9JZV,X-RAY DIFFRACTION,1.9,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9KE5,X-RAY DIFFRACTION,2.05,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9KE5,X-RAY DIFFRACTION,2.05,A1EE3,"4-prop-2-ynyl-1,4-thiazinane 1,1-dioxide",C7 H11 N O2 S,173.233,non-polymer,C#CCN1CCS(=O)(=O)CC1,11,A,ligand,drug_like
9KE5,X-RAY DIFFRACTION,2.05,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9KE7,X-RAY DIFFRACTION,1.68,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9KE7,X-RAY DIFFRACTION,1.68,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9KE7,X-RAY DIFFRACTION,1.68,A1EE7,N-ethyl-4-fluoranyl-benzenesulfonamide,C8 H10 F N O2 S,203.234,non-polymer,CCNS(=O)(=O)c1ccc(cc1)F,13,A,ligand,drug_like
9KE9,X-RAY DIFFRACTION,2.25,A1BDV,"(2H-1,3-benzodioxol-5-yl)methanol",C8 H8 O3,152.147,non-polymer,c1cc2c(cc1CO)OCO2,11,A,ligand,drug_like
9KE9,X-RAY DIFFRACTION,2.25,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9KE9,X-RAY DIFFRACTION,2.25,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9KEB,X-RAY DIFFRACTION,1.65,A1EE8,"[2-(4-methyl-1,4-diazepan-1-yl)phenyl]methanol",C13 H20 N2 O,220.311,non-polymer,CN1CCCN(CC1)c2ccccc2CO,16,A,ligand,drug_like
9KEB,X-RAY DIFFRACTION,1.65,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9KEB,X-RAY DIFFRACTION,1.65,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
