rgroup_id,linker_id,linker_smiles,aryl_smiles,fragment_smiles,aryl_heavy_atoms,aryl_mw,chembl_pool_frequency
rg0184,alpha_Me,C(C),C1=[NH+]CCc2ccccc21,[*]C(C)C1=[NH+]CCc2ccccc21,10,132.19,13
rg0185,gem_diMe,C(C)(C),C1=[NH+]CCc2ccccc21,[*]C(C)(C)C1=[NH+]CCc2ccccc21,10,132.19,13
rg0186,direct,,c1cc2c(c(C3CC3)c1)OCN2,[*]c1cc2c(c(C3CC3)c1)OCN2,12,161.2,13
rg0187,1C,C,c1cc2c(c(C3CC3)c1)OCN2,[*]Cc1cc2c(c(C3CC3)c1)OCN2,12,161.2,13
rg0188,2C,CC,c1cc2c(c(C3CC3)c1)OCN2,[*]CCc1cc2c(c(C3CC3)c1)OCN2,12,161.2,13
rg0189,3C,CCC,c1cc2c(c(C3CC3)c1)OCN2,[*]CCCc1cc2c(c(C3CC3)c1)OCN2,12,161.2,13
rg0190,alpha_Me,C(C),c1cc2c(c(C3CC3)c1)OCN2,[*]C(C)c1cc2c(c(C3CC3)c1)OCN2,12,161.2,13
rg0191,gem_diMe,C(C)(C),c1cc2c(c(C3CC3)c1)OCN2,[*]C(C)(C)c1cc2c(c(C3CC3)c1)OCN2,12,161.2,13
rg0192,direct,,c1ccc2scnc2c1,[*]c1ccc2scnc2c1,9,135.19,12
rg0193,1C,C,c1ccc2scnc2c1,[*]Cc1ccc2scnc2c1,9,135.19,12
rg0194,2C,CC,c1ccc2scnc2c1,[*]CCc1ccc2scnc2c1,9,135.19,12
rg0195,3C,CCC,c1ccc2scnc2c1,[*]CCCc1ccc2scnc2c1,9,135.19,12
rg0196,alpha_Me,C(C),c1ccc2scnc2c1,[*]C(C)c1ccc2scnc2c1,9,135.19,12
rg0197,gem_diMe,C(C)(C),c1ccc2scnc2c1,[*]C(C)(C)c1ccc2scnc2c1,9,135.19,12
